hog	genes
N1.HOG0010969	Cdc45
N1.HOG0010970	sotv
N1.HOG0010971	CG10151
N1.HOG0010974	Slik
N1.HOG0010977	CG9849
N1.HOG0010978	CG11275
N1.HOG0010979	CG8910
N1.HOG0010980	Daao1
N1.HOG0010981	Vps51
N1.HOG0010982	Gint3
N1.HOG0010983	cg
N1.HOG0010984	RpL23
N1.HOG0010985	emp
N1.HOG0010986	CG42673
N1.HOG0010987	Blos4
N1.HOG0010989	TTLL1B
N1.HOG0010990	Bre1
N1.HOG0010991	CG11899
N1.HOG0010992	eIF5B
N1.HOG0010998	CG6497
N1.HOG0010999	eIF3l
N1.HOG0011000	CG14147
N1.HOG0011001	CG6321
N1.HOG0011002	Pfdn2
N1.HOG0011003	snRNP-U1-C
N1.HOG0011004	Tomosyn
N1.HOG0011005	Naprt
N1.HOG0011007	ND-PDSW
N1.HOG0011008	dbe
N1.HOG0011009	AstC
N1.HOG0011010	dUTPase
N1.HOG0011011	Not10
N1.HOG0011012	CG7786
N1.HOG0011013	CG15701
N1.HOG0011014	CG43667
N1.HOG0011015	CG30431
N1.HOG0011016	Ptr
N1.HOG0011017	hppy
N1.HOG0011018	Psi
N1.HOG0011019	Sting
N1.HOG0011020	Snap29
N1.HOG0011021	AGBE
N1.HOG0011025	Drip
N1.HOG0011026	CG5335
N1.HOG0011028	Liprin-gamma
N1.HOG0011031	CG4681
N1.HOG0011032	pirk
N1.HOG0011033	AsnRS-m
N1.HOG0011034	MCPH1
N1.HOG0011035	scra
N1.HOG0011036	Oseg6
N1.HOG0011037	CG10731
N1.HOG0011038	PheRS-m
N1.HOG0011039	l(2)k09913
N1.HOG0011040	Ns2
N1.HOG0011041	CG30046
N1.HOG0011042	CG10384
N1.HOG0011043	CG12256
N1.HOG0011044	dpr17
N1.HOG0011045	Hmgcr
N1.HOG0011046	CG2972
N1.HOG0011047	Gcn2
N1.HOG0011048	CG9967
N1.HOG0011049	CG13991
N1.HOG0011050	CG9098
N1.HOG0011051	nAChRbeta3
N1.HOG0011052	CG8460
N1.HOG0011053	CG10338
N1.HOG0011054	pen-2
N1.HOG0011055	egl
N1.HOG0011056	BBS4
N1.HOG0011057	phr
N1.HOG0011058	Rab32
N1.HOG0011059	eIF2Bdelta
N1.HOG0011060	CG2269
N1.HOG0011061	CG1371
N1.HOG0011062	CG8180
N1.HOG0011063	Hsl
N1.HOG0011064	Rs1
N1.HOG0011065	Kank
N1.HOG0011066	CG16896
N1.HOG0011067	CG3328
N1.HOG0011068	key
N1.HOG0011069	Tmem18
N1.HOG0011070	Bap55
N1.HOG0011071	CG9313
N1.HOG0011072	amrt
N1.HOG0011073	CG15422
N1.HOG0011074	Dysb
N1.HOG0011075	alphaSnap
N1.HOG0011076	gig
N1.HOG0011077	Usp32
N1.HOG0011078	CG10948
N1.HOG0011079	lama
N1.HOG0011080	Coq8
N1.HOG0011081	CG15914
N1.HOG0011082	RfC3
N1.HOG0011083	Dyb
N1.HOG0011084	raskol
N1.HOG0011085	CG15744
N1.HOG0011086	Vsp37A
N1.HOG0011087	Su(dx)
N1.HOG0011088	Ptp36E
N1.HOG0011089	CG17646
N1.HOG0011090	CG16974
N1.HOG0011091	CG10747
N1.HOG0011092	LKRSDH
N1.HOG0011093	bur
N1.HOG0011094	Ret
N1.HOG0011095	tsh
N1.HOG0011096	Ube4A
N1.HOG0011097	tho2
N1.HOG0011098	gudu
N1.HOG0011099	COX4L
N1.HOG0011100	mldr
N1.HOG0011101	Lsd-2
N1.HOG0011102	pot
N1.HOG0011103	CROT
N1.HOG0011104	Prim1
N1.HOG0011105	CG13877
N1.HOG0011106	CG14830
N1.HOG0011107	Chd1
N1.HOG0011108	unc80
N1.HOG0011109	esg
N1.HOG0011110	Rrp46
N1.HOG0011112	eIF2D
N1.HOG0011114	Prim2
N1.HOG0011116	CG10841
N1.HOG0011117	FER
N1.HOG0011119	Rpn7
N1.HOG0011123	AP-2mu
N1.HOG0011125	Kal1
N1.HOG0011126	Tsc1
N1.HOG0011127	Miro
N1.HOG0011128	alpha-Man-Ib
N1.HOG0011129	LSm3
N1.HOG0011130	Trs33
N1.HOG0011131	Trc8
N1.HOG0011132	ppk19
N1.HOG0011134	Cad96Ca
N1.HOG0011135	tw
N1.HOG0011136	Yip1d1
N1.HOG0011137	P5CDh1
N1.HOG0011138	Nep4
N1.HOG0011139	CG11550
N1.HOG0011140	Nepl15
N1.HOG0011141	HtrA2
N1.HOG0011142	mRpL35
N1.HOG0011143	Prp40
N1.HOG0011144	CG13384
N1.HOG0011145	jar
N1.HOG0011146	CG6026
N1.HOG0011147	Synd
N1.HOG0011148	CG31224
N1.HOG0011149	Brd8
N1.HOG0011150	SerRS-m
N1.HOG0011151	CG32857,CG32500,CG33502
N1.HOG0011152	be
N1.HOG0011153	CG4615
N1.HOG0011165	14-3-3zeta
N1.HOG0011166	babo
N1.HOG0011167	CG10433
N1.HOG0011169	dind
N1.HOG0011170	Alg1
N1.HOG0011171	ppk31
N1.HOG0011172	CG7059
N1.HOG0011173	CG9316
N1.HOG0011174	Sgt
N1.HOG0011175	Ravus
N1.HOG0011176	apn
N1.HOG0011177	CG7950
N1.HOG0011178	Jarid2
N1.HOG0011179	ValRS-m
N1.HOG0011180	Gga
N1.HOG0011181	Plzf
N1.HOG0011182	okr
N1.HOG0011183	mRF1
N1.HOG0011184	Ski6
N1.HOG0011185	Pburs
N1.HOG0011186	Bdp1
N1.HOG0011187	ND-B22
N1.HOG0011188	CG9150
N1.HOG0011189	CG31229
N1.HOG0011190	CG18507
N1.HOG0011191	uif
N1.HOG0011192	CG17572
N1.HOG0011193	CG15916
N1.HOG0011194	CG10466
N1.HOG0011195	Calr
N1.HOG0011196	Gba1b
N1.HOG0011197	CG6051
N1.HOG0011198	Oga
N1.HOG0011199	SrpRalpha
N1.HOG0011201	l(3)73Ah
N1.HOG0011202	CG10576
N1.HOG0011203	Ide
N1.HOG0011204	Cdk12
N1.HOG0011206	cold
N1.HOG0011207	ATP8B
N1.HOG0011208	CG7272
N1.HOG0011209	CG1486
N1.HOG0011210	lqfR
N1.HOG0011211	CG42258
N1.HOG0011212	CG11596
N1.HOG0011213	SmydA-4
N1.HOG0011214	CG11178
N1.HOG0011215	Sym
N1.HOG0011216	Madm
N1.HOG0011217	CG6984
N1.HOG0011218	CG8950
N1.HOG0011219	fa2h
N1.HOG0011220	CG8646
N1.HOG0011221	CG9890
N1.HOG0011222	swi2
N1.HOG0011223	gol
N1.HOG0011224	e(y)3
N1.HOG0011225	CG3610
N1.HOG0011226	baz
N1.HOG0011227	CG7889
N1.HOG0011228	gfzf
N1.HOG0011229	CG31211
N1.HOG0011230	CG9132
N1.HOG0011231	AP-1-2beta
N1.HOG0011232	U4-U6-60K
N1.HOG0011233	Nedd4
N1.HOG0011234	Vps60
N1.HOG0011235	temp
N1.HOG0011237	Ctr9
N1.HOG0011238	CG7798
N1.HOG0011239	CG12268
N1.HOG0011240	CG31381
N1.HOG0011241	CG3513
N1.HOG0011242	eIF3f2
N1.HOG0011243	CG12691
N1.HOG0011244	Pof
N1.HOG0011245	Alg10
N1.HOG0011246	CG14142
N1.HOG0011247	nkt
N1.HOG0011248	Hem
N1.HOG0011249	Helz
N1.HOG0011250	mtTFB1
N1.HOG0011252	CG5618
N1.HOG0011253	CG6674
N1.HOG0011254	msn
N1.HOG0011255	Snmp2
N1.HOG0011256	RNaseX25
N1.HOG0011257	CG34140
N1.HOG0011258	ND-13B
N1.HOG0011259	Rab39
N1.HOG0011260	CG42554
N1.HOG0011261	CG13894
N1.HOG0011262	MEP-1
N1.HOG0011263	CG12104
N1.HOG0011264	CG13917
N1.HOG0011265	Sec63
N1.HOG0011266	CG6652
N1.HOG0011267	CG7457
N1.HOG0011268	CG1317
N1.HOG0011269	chb
N1.HOG0011270	Ilk
N1.HOG0011271	CG4611
N1.HOG0011272	Psa
N1.HOG0011273	Ufsp2
N1.HOG0011274	RhoGAP71E
N1.HOG0011275	CG42638,Trpml
N1.HOG0011276	Psn
N1.HOG0011277	mRpL21
N1.HOG0011280	CG7365
N1.HOG0011282	CG11367
N1.HOG0011283	Phs
N1.HOG0011284	Polr3H
N1.HOG0011285	Max
N1.HOG0011286	cmpy
N1.HOG0011287	CG3402
N1.HOG0011288	Fie
N1.HOG0011289	Gr63a
N1.HOG0011290	CG14971
N1.HOG0011291	Vdup1
N1.HOG0011292	DIP2
N1.HOG0011293	CG14535
N1.HOG0011294	Naa15-16
N1.HOG0011295	CG32533
N1.HOG0011296	CG31999
N1.HOG0011297	onecut
N1.HOG0011298	CG15356
N1.HOG0011300	su(sable)
N1.HOG0011301	CG15865
N1.HOG0011302	CG14625
N1.HOG0011303	CG13690
N1.HOG0011304	Lapsyn
N1.HOG0011305	CG15080
N1.HOG0011306	Nprl2
N1.HOG0011308	CG32816
N1.HOG0011309	CG1129
N1.HOG0011310	Tgt
N1.HOG0011311	CG42724
N1.HOG0011312	Arp5
N1.HOG0011314	CG11980
N1.HOG0011317	CG1492
N1.HOG0011318	Mps1
N1.HOG0011319	Ir8a
N1.HOG0011320	Dref
N1.HOG0011321	CG4658
N1.HOG0011322	Vajk3
N1.HOG0011323	CG8671
N1.HOG0011324	Sem1
N1.HOG0011325	pkaap
N1.HOG0011326	CG6724
N1.HOG0011327	Lip1
N1.HOG0011328	CG4849
N1.HOG0011329	CG2017
N1.HOG0011330	ppk22
N1.HOG0011331	PNPase
N1.HOG0011332	beat-Vc
N1.HOG0011333	EloA
N1.HOG0011334	Irc
N1.HOG0011335	Sf3a1
N1.HOG0011338	Ama
N1.HOG0011340	twr
N1.HOG0011341	CG44098
N1.HOG0011342	rtp
N1.HOG0011343	Afti
N1.HOG0011344	CG8420
N1.HOG0011345	nac
N1.HOG0011346	Dhc98D
N1.HOG0011347	CG3708
N1.HOG0011348	Sec22
N1.HOG0011349	Dh44
N1.HOG0011350	CG14710
N1.HOG0011351	CG8199
N1.HOG0011352	CG17230
N1.HOG0011353	DZIP1
N1.HOG0011354	BRWD3
N1.HOG0011355	EMC1
N1.HOG0011356	Dpck
N1.HOG0011357	CG12241
N1.HOG0011358	CG34384
N1.HOG0011359	CG2993
N1.HOG0011360	CG5886
N1.HOG0011361	CG11858
N1.HOG0011362	CG31249
N1.HOG0011363	CG43163
N1.HOG0011364	qkr58E-2
N1.HOG0011365	RpL18A
N1.HOG0011366	CG5273
N1.HOG0011367	bdg
N1.HOG0011368	CG9304
N1.HOG0011369	CG12499
N1.HOG0011370	PIG-Z
N1.HOG0011371	mRpL54
N1.HOG0011372	nito
N1.HOG0011373	CG11191
N1.HOG0011374	CG12769
N1.HOG0011375	Usp20-33
N1.HOG0011376	beta4GalNAcTA
N1.HOG0011377	Arf6
N1.HOG0011378	Sin3A
N1.HOG0011379	CG6761
N1.HOG0011380	kri
N1.HOG0011381	Ythdc1
N1.HOG0011382	CG33722
N1.HOG0011383	CG4424
N1.HOG0011384	PIG-L
N1.HOG0011385	CAH3
N1.HOG0011386	CG4853
N1.HOG0011387	CG3645
N1.HOG0011388	CG6144
N1.HOG0011389	cib
N1.HOG0011390	PRAS40
N1.HOG0011391	Ercc1
N1.HOG0011392	Pngl
N1.HOG0011393	Swim
N1.HOG0011394	CG9062
N1.HOG0011395	ppk6
N1.HOG0011396	CG7137
N1.HOG0011397	CG10737
N1.HOG0011398	CG8839
N1.HOG0011399	CG4286
N1.HOG0011400	CG8067
N1.HOG0011401	stl
N1.HOG0011402	CG5002
N1.HOG0011403	GLaz
N1.HOG0011404	CG13203
N1.HOG0011405	Non1
N1.HOG0011406	Ntan1
N1.HOG0011407	CG9876
N1.HOG0011408	eIF3j
N1.HOG0011409	tn
N1.HOG0011410	Plekhm1
N1.HOG0011411	FAM21
N1.HOG0011412	CG3492
N1.HOG0011414	ND-B15
N1.HOG0011415	sqa
N1.HOG0011416	CG34396
N1.HOG0011417	AIMP1
N1.HOG0011418	Stt3B
N1.HOG0011419	spt4
N1.HOG0011420	CG8520
N1.HOG0011421	CG13157
N1.HOG0011422	THG
N1.HOG0011423	snsl
N1.HOG0011424	Npc2b
N1.HOG0011425	Pfdn5
N1.HOG0011426	CG10962
N1.HOG0011427	robl22E
N1.HOG0011428	CG7953
N1.HOG0011429	CG9586
N1.HOG0011430	PDZ-GEF
N1.HOG0011431	DIP-eta
N1.HOG0011432	Ets21C
N1.HOG0011433	eIF3i
N1.HOG0011434	CG30159
N1.HOG0011435	CG30394
N1.HOG0011436	Gdap2
N1.HOG0011437	cn
N1.HOG0011438	Nop17l
N1.HOG0011439	DnaJ-60
N1.HOG0011441	sax
N1.HOG0011442	Pka-R2
N1.HOG0011443	Acph-1
N1.HOG0011444	CG11099
N1.HOG0011445	CSN7
N1.HOG0011446	CG15118
N1.HOG0011447	AQP
N1.HOG0011448	nahoda
N1.HOG0011449	CG17807
N1.HOG0011450	Vps20
N1.HOG0011451	Shrm
N1.HOG0011452	Dll
N1.HOG0011453	CG4546
N1.HOG0011454	Rrp4
N1.HOG0011455	CG3008
N1.HOG0011456	Nost
N1.HOG0011458	CDC50
N1.HOG0011462	Peritrophin-A
N1.HOG0011463	Prp5
N1.HOG0011464	nompC
N1.HOG0011465	Arp1
N1.HOG0011466	Pex3
N1.HOG0011467	CG7011
N1.HOG0011468	CG14120
N1.HOG0011469	CG11267
N1.HOG0011470	EMC4
N1.HOG0011471	east
N1.HOG0011472	ogre
N1.HOG0011473	sisA
N1.HOG0011474	CG9034
N1.HOG0011475	IP3K2
N1.HOG0011476	CG33129
N1.HOG0011477	CG13272
N1.HOG0011478	CG31787
N1.HOG0011479	cad
N1.HOG0011480	CG31687,Cdc23
N1.HOG0011481	CG10949
N1.HOG0011482	CG10947
N1.HOG0011483	Syt1
N1.HOG0011484	Cyp310a1
N1.HOG0011485	IFT46
N1.HOG0011486	gcm
N1.HOG0011487	rau
N1.HOG0011488	CG31908
N1.HOG0011489	CG16890
N1.HOG0011490	CG2991
N1.HOG0011491	Fkbp59
N1.HOG0011492	Tango1
N1.HOG0011493	Wee1
N1.HOG0011494	RnrL
N1.HOG0011495	Nfs1
N1.HOG0011496	CG34134
N1.HOG0011497	ari-1
N1.HOG0011498	CG10467
N1.HOG0011499	CG13670
N1.HOG0011500	oxt
N1.HOG0011501	Rab19
N1.HOG0011502	CG2875
N1.HOG0011503	CG4558
N1.HOG0011504	Task7
N1.HOG0011505	Tace
N1.HOG0011506	CG11504
N1.HOG0011507	GatB
N1.HOG0011508	RpS8
N1.HOG0011509	GatA
N1.HOG0011510	CG31267
N1.HOG0011511	mtTFB2
N1.HOG0011512	Cog2
N1.HOG0011513	Hibch
N1.HOG0011514	CG2006
N1.HOG0011515	FipoQ
N1.HOG0011516	Bub3
N1.HOG0011517	Keap1
N1.HOG0011518	CG8372
N1.HOG0011520	Adk2
N1.HOG0011521	CG14182
N1.HOG0011522	Apt1
N1.HOG0011523	PolH
N1.HOG0011524	eIF2A
N1.HOG0011525	CG15643
N1.HOG0011526	Pi3K92E
N1.HOG0011527	Mnat9
N1.HOG0011528	pygo
N1.HOG0011529	CG14647
N1.HOG0011530	CG6225
N1.HOG0011531	CG34375
N1.HOG0011532	lmd
N1.HOG0011533	TrpRS
N1.HOG0011534	trbd
N1.HOG0011535	cnir
N1.HOG0011536	Set1
N1.HOG0011537	CG11403
N1.HOG0011538	Tsp42Eq
N1.HOG0011539	Gcat
N1.HOG0011540	Arpc1
N1.HOG0011541	CG7720
N1.HOG0011543	CG9698
N1.HOG0011544	CDase
N1.HOG0011545	PNKP
N1.HOG0011546	Tango4
N1.HOG0011547	CG14615
N1.HOG0011548	wupA
N1.HOG0011549	Socs44A
N1.HOG0011550	sand
N1.HOG0011551	CG42326
N1.HOG0011552	CCT5
N1.HOG0011553	SmD3
N1.HOG0011554	dpa
N1.HOG0011555	CG4679
N1.HOG0011556	CG18659
N1.HOG0011557	Zasp52
N1.HOG0011558	CG7565
N1.HOG0011559	CG3213
N1.HOG0011560	CG33298
N1.HOG0011561	D12
N1.HOG0011562	Ir87a
N1.HOG0011563	Best1
N1.HOG0011564	CG3225
N1.HOG0011565	CG12594
N1.HOG0011566	TBC1D5
N1.HOG0011567	CG15888
N1.HOG0011568	AP-1sigma
N1.HOG0011569	CG15153
N1.HOG0011570	CG5758
N1.HOG0011571	IPIP
N1.HOG0011572	slmo
N1.HOG0011573	CG16820
N1.HOG0011574	CG44085
N1.HOG0011575	spel1
N1.HOG0011576	Gli
N1.HOG0011577	CG17350
N1.HOG0011578	Tsp39D
N1.HOG0011579	CG11050
N1.HOG0011580	Ppat-Dpck
N1.HOG0011581	CG10660
N1.HOG0011582	ash1
N1.HOG0011583	in
N1.HOG0011584	CG33969
N1.HOG0011585	SAK
N1.HOG0011586	Ipk2
N1.HOG0011587	CG2794
N1.HOG0011588	SERCA
N1.HOG0011589	kcc
N1.HOG0011590	Cpes
N1.HOG0011591	CG1578
N1.HOG0011592	CG14441
N1.HOG0011593	Coq7
N1.HOG0011594	Pits
N1.HOG0011595	Rpn5
N1.HOG0011596	Rcd1
N1.HOG0011597	wal
N1.HOG0011598	CG8778
N1.HOG0011599	CG5065
N1.HOG0011600	CG8306
N1.HOG0011601	CG7544
N1.HOG0011602	CG13186
N1.HOG0011603	AGO1
N1.HOG0011604	CG10265
N1.HOG0011606	Scamp
N1.HOG0011607	Traf6
N1.HOG0011608	CG3309
N1.HOG0011609	Vps4
N1.HOG0011610	Gss1,Gss2
N1.HOG0011611	egh
N1.HOG0011615	dx
N1.HOG0011616	CG5004
N1.HOG0011617	Syx18
N1.HOG0011618	IscU
N1.HOG0011619	Cad96Cb
N1.HOG0011620	CG18598
N1.HOG0011621	Dhfr
N1.HOG0011622	CSN5
N1.HOG0011623	Mat89Ba
N1.HOG0011624	Irbp18
N1.HOG0011625	SecCl
N1.HOG0011626	CG14966
N1.HOG0011627	ScsbetaG
N1.HOG0011628	CG15912
N1.HOG0011629	Ggamma1
N1.HOG0011630	CG6425
N1.HOG0011631	BEAF-32
N1.HOG0011632	Rsph3
N1.HOG0011633	CG6985
N1.HOG0011634	chrb
N1.HOG0011635	CG6163
N1.HOG0011636	CG7600
N1.HOG0011637	CG11438
N1.HOG0011638	MYPT-75D
N1.HOG0011639	CG10222
N1.HOG0011640	MED16
N1.HOG0011641	CG9330
N1.HOG0011642	crim
N1.HOG0011643	emei
N1.HOG0011644	trc
N1.HOG0011645	Cpr65Ea
N1.HOG0011646	Rab26
N1.HOG0011647	Nelf-E
N1.HOG0011648	CG33158
N1.HOG0011649	CG10063
N1.HOG0011650	Cp16
N1.HOG0011651	Cdc6
N1.HOG0011652	Ptp61F
N1.HOG0011653	frc
N1.HOG0011654	Sec3
N1.HOG0011655	Mfap1
N1.HOG0011656	exex
N1.HOG0011657	CG11811
N1.HOG0011658	l(3)psg2
N1.HOG0011659	CG4328
N1.HOG0011660	rasp
N1.HOG0011661	CG14982
N1.HOG0011662	CG7492
N1.HOG0011663	CG42458
N1.HOG0011664	CG8563
N1.HOG0011665	CG13671
N1.HOG0011666	Gr66a
N1.HOG0011667	DopEcR
N1.HOG0011668	DOR
N1.HOG0011669	CG11594
N1.HOG0011670	IFT52
N1.HOG0011671	CG42337
N1.HOG0011672	CG12009
N1.HOG0011673	CG34342
N1.HOG0011674	Pdh
N1.HOG0011675	CG10565
N1.HOG0011676	MED14
N1.HOG0011677	CG12084
N1.HOG0011678	Pop4
N1.HOG0011679	Ero1L
N1.HOG0011680	Tgi
N1.HOG0011681	Abp1
N1.HOG0011682	Tdrd3
N1.HOG0011683	CG32428
N1.HOG0011684	Vamp7
N1.HOG0011685	ZnT77C
N1.HOG0011686	Gem2
N1.HOG0011687	CG14079
N1.HOG0011689	CG3961
N1.HOG0011691	CG11241
N1.HOG0011692	Zip71B
N1.HOG0011693	Reck
N1.HOG0011694	DCP2
N1.HOG0011695	CTCF
N1.HOG0011696	dar1
N1.HOG0011697	Ucp4A
N1.HOG0011698	CG4287
N1.HOG0011699	Mettl14
N1.HOG0011700	CG4822
N1.HOG0011701	CG5446
N1.HOG0011702	Fam92
N1.HOG0011703	CG7806
N1.HOG0011704	PGRP-SA
N1.HOG0011705	CG3815
N1.HOG0011706	Muc11A
N1.HOG0011711	CG3556
N1.HOG0011713	AP-2alpha
N1.HOG0011714	CG43366
N1.HOG0011715	Src42A
N1.HOG0011716	GCS1
N1.HOG0011717	Pak
N1.HOG0011718	POLDIP2
N1.HOG0011719	HDAC3
N1.HOG0011720	Hcs
N1.HOG0011721	CG11970
N1.HOG0011722	CG4313
N1.HOG0011723	par-6
N1.HOG0011724	CG17896
N1.HOG0011725	L2HGDH
N1.HOG0011726	Kdm5
N1.HOG0011727	CG10628
N1.HOG0011728	daw
N1.HOG0011729	CG9395
N1.HOG0011730	Bub1
N1.HOG0011731	CG17328
N1.HOG0011732	Syx5
N1.HOG0011733	CG6443
N1.HOG0011734	CG6415
N1.HOG0011735	CG17104
N1.HOG0011736	CG5397
N1.HOG0011737	Obp19c
N1.HOG0011738	RunxB
N1.HOG0011739	Or67c
N1.HOG0011740	cysu
N1.HOG0011741	Noa36
N1.HOG0011742	Polr1H
N1.HOG0011743	ECSIT
N1.HOG0011744	CG5608
N1.HOG0011745	CG8907
N1.HOG0011746	Kat60
N1.HOG0011747	heph
N1.HOG0011748	FeCH
N1.HOG0011750	PR-Set7
N1.HOG0011751	Idh3b
N1.HOG0011752	CG6678
N1.HOG0011759	ATPsynC
N1.HOG0011762	CG34133
N1.HOG0011763	mRpL1
N1.HOG0011764	Sec20
N1.HOG0011765	beat-VI
N1.HOG0011766	CG6293
N1.HOG0011767	CG10307
N1.HOG0011768	Os-C
N1.HOG0011769	AP-1mu
N1.HOG0011770	CG14880
N1.HOG0011771	CG5276
N1.HOG0011772	CG5746
N1.HOG0011773	CG14544
N1.HOG0011774	Vps2
N1.HOG0011775	E(spl)m7-HLH
N1.HOG0011776	E(spl)mgamma-HLH
N1.HOG0011777	Nf1
N1.HOG0011778	CG42542
N1.HOG0011779	Cyp313b1
N1.HOG0011780	CG8176
N1.HOG0011781	Kdm2
N1.HOG0011782	beag
N1.HOG0011783	fid
N1.HOG0011784	mTerf5
N1.HOG0011785	CG7168
N1.HOG0011786	CG2846
N1.HOG0011787	Hr96
N1.HOG0011788	CG13625
N1.HOG0011789	rump
N1.HOG0011790	ZnT86D
N1.HOG0011791	CG14696
N1.HOG0011792	Tpc1
N1.HOG0011793	CG7379
N1.HOG0011794	CG3021
N1.HOG0011795	CG11638
N1.HOG0011796	CG7789
N1.HOG0011797	CNBP
N1.HOG0011798	twi
N1.HOG0011799	Nop60B
N1.HOG0011800	ocm
N1.HOG0011801	CG3356
N1.HOG0011802	CG34236
N1.HOG0011803	Fpps
N1.HOG0011804	asrij
N1.HOG0011805	Hr51
N1.HOG0011806	corn
N1.HOG0011807	CG12010
N1.HOG0011808	Mettl2
N1.HOG0011809	RhoGAP68F
N1.HOG0011810	CG5645
N1.HOG0011811	CG14154
N1.HOG0011812	CG1927
N1.HOG0011813	mtg
N1.HOG0011814	wat
N1.HOG0011816	sqz
N1.HOG0011817	APC10
N1.HOG0011818	l(2)gd1
N1.HOG0011819	Tbc1d15-17
N1.HOG0011820	CG15414
N1.HOG0011821	morgue
N1.HOG0011822	geminin
N1.HOG0011823	Sec31
N1.HOG0011824	U3-55K
N1.HOG0011825	Nup75
N1.HOG0011826	Cyt-b5
N1.HOG0011827	CG9067
N1.HOG0011828	Rab2
N1.HOG0011829	Trap1
N1.HOG0011830	l(2)k09848
N1.HOG0011831	eIF3k
N1.HOG0011832	Orc6
N1.HOG0011834	GLS
N1.HOG0011835	Sou
N1.HOG0011836	CG10205
N1.HOG0011837	rho-7
N1.HOG0011838	CG1358
N1.HOG0011839	GstE12
N1.HOG0011840	CG8389
N1.HOG0011841	flap
N1.HOG0011842	unpg
N1.HOG0011843	CG11180
N1.HOG0011844	MFS16
N1.HOG0011845	CG30105
N1.HOG0011846	adp
N1.HOG0011847	CG11788
N1.HOG0011848	CG11200
N1.HOG0011849	Sec61beta
N1.HOG0011850	Mlf
N1.HOG0011851	Nsun2
N1.HOG0011852	CG8858
N1.HOG0011854	Cpr49Ab
N1.HOG0011855	CG8079
N1.HOG0011856	CG5916
N1.HOG0011857	tll
N1.HOG0011858	twf
N1.HOG0011860	Rbm13
N1.HOG0011861	CG7744
N1.HOG0011862	CG1529
N1.HOG0011866	CG4267
N1.HOG0011867	clumsy
N1.HOG0011868	CG11147
N1.HOG0011869	PolD3
N1.HOG0011870	Tsp26A
N1.HOG0011871	kraken
N1.HOG0011872	RapGAP1
N1.HOG0011873	CG17002
N1.HOG0011874	l(2)dtl
N1.HOG0011875	CG12391
N1.HOG0011877	CG12822
N1.HOG0011878	Dgk
N1.HOG0011879	Golgin245
N1.HOG0011880	CCHa1-R
N1.HOG0011881	dup
N1.HOG0011882	scaf
N1.HOG0011883	Cyp317a1
N1.HOG0011884	CG6907
N1.HOG0011885	ValRS
N1.HOG0011887	Pdrg1
N1.HOG0011888	CG1441
N1.HOG0011889	CG11883
N1.HOG0011890	Elp2
N1.HOG0011891	TyrRS-m
N1.HOG0011892	Gmd
N1.HOG0011893	CG8891
N1.HOG0011894	CG2004
N1.HOG0011895	dah
N1.HOG0011896	CG13003
N1.HOG0011897	CG8326
N1.HOG0011898	CG3036
N1.HOG0011899	CG12106
N1.HOG0011901	CG12118
N1.HOG0011902	CG9799
N1.HOG0011903	ZIPIC
N1.HOG0011904	CG6865
N1.HOG0011905	Uggt
N1.HOG0011906	CG12301
N1.HOG0011907	Rcd7
N1.HOG0011909	Cpsf73
N1.HOG0011910	CG14691
N1.HOG0011911	CG4404
N1.HOG0011912	AP-1gamma
N1.HOG0011913	mys
N1.HOG0011914	Upf2
N1.HOG0011915	CG12541
N1.HOG0011919	drd
N1.HOG0011922	Gapvd1
N1.HOG0011923	rush
N1.HOG0011925	meso18E
N1.HOG0011926	CG10495
N1.HOG0011927	SCAR
N1.HOG0011928	AspRS-m
N1.HOG0011929	Fas3
N1.HOG0011930	Rhau
N1.HOG0011931	Uxt
N1.HOG0011933	Rab6
N1.HOG0011934	kek3
N1.HOG0011936	CG4382
N1.HOG0011937	jp
N1.HOG0011938	dimm
N1.HOG0011939	CG9246
N1.HOG0011940	CG43346
N1.HOG0011941	CG5776
N1.HOG0011942	Sec71
N1.HOG0011943	CAH1
N1.HOG0011944	Rpn3
N1.HOG0011945	CG4537
N1.HOG0011946	CG31635
N1.HOG0011947	Spn27A
N1.HOG0011948	CG18304
N1.HOG0011949	l(2)k09022
N1.HOG0011950	SC35
N1.HOG0011951	Rpn11
N1.HOG0011952	GramD1B
N1.HOG0011953	CG6055
N1.HOG0011954	CG5160
N1.HOG0011955	CG1077
N1.HOG0011956	f-cup
N1.HOG0011957	Dbp73D
N1.HOG0011958	CG33288
N1.HOG0011959	UbcE2M
N1.HOG0011960	unc-13-4A
N1.HOG0011961	sna
N1.HOG0011962	Cog3
N1.HOG0011963	eIF2Balpha
N1.HOG0011964	Mpi
N1.HOG0011965	rin
N1.HOG0011966	Efa6
N1.HOG0011967	CG13607
N1.HOG0011968	Mettl3
N1.HOG0011969	Gip
N1.HOG0011970	CG42613
N1.HOG0011972	CG5246
N1.HOG0011973	Trax
N1.HOG0011974	Atg4b
N1.HOG0011975	CG15529
N1.HOG0011976	CG11498
N1.HOG0011977	Oct-TyrR
N1.HOG0011978	Chs2
N1.HOG0011979	CG32121
N1.HOG0011980	CycG
N1.HOG0011981	CG5934
N1.HOG0011982	Irk2
N1.HOG0011983	NSD
N1.HOG0011984	CG5961
N1.HOG0011985	Suv3
N1.HOG0011986	CG1092
N1.HOG0011987	CG6688
N1.HOG0011988	Rnb
N1.HOG0011989	Mtl
